variable,tipo,nulos,pct_nulos,valores_unicos
cve_entidad,Int64,0,0.0,32
nom_entidad,String,0,0.0,32
cve_municipio,Int64,451,0.41,268
nom_municipio,String,0,0.0,1206
edad_primer_union,Float64,85567,77.7,71
num_hijos,Float64,19436,17.65,5
nivel_escolaridad,String,0,0.0,6
estado_civil_id,Int64,0,0.0,6
estado_civil_desc,String,0,0.0,6
estrato_socioeconomico,Int64,0,0.0,4
pareja_trabaja_id,Int64,0,0.0,2
pareja_trabaja_desc,String,0,0.0,2
ingreso_pareja,Float64,61147,55.52,546
dinero_propio_id,Int64,0,0.0,2
dinero_propio_desc,String,0,0.0,2
apoyo_gobierno_id,Int64,0,0.0,2
apoyo_gobierno_desc,String,0,0.0,2
tiene_ahorros_id,Int64,0,0.0,2
tiene_ahorros_desc,String,0,0.0,2
propietaria_vivienda_id,Int64,0,0.0,2
propietaria_vivienda_desc,String,0,0.0,2
sufrio_violencia_pareja,Int64,0,0.0,2
factor_expansion,Int64,482,0.44,3002
anio_encuesta,Int64,0,0.0,1
